,Unnamed: 0,Date,Player 1,Player 2,Player 3,Player 4
58,,2022-03-04,2,0,2,0
59,,2022-03-04,0,0,4,4
60,,2022-03-04,0,3,3,0
61,,2022-03-04,0,2,0,2
62,,2022-03-04,0,0,2,0
63,,2022-03-04,0,1,0,1
64,,2022-03-04,0,1,0,1
65,,2022-03-04,0,0,2,2
66,,2022-03-04,4,0,0,4
67,,2022-03-04,0,0,1,1
68,,2022-03-04,0,1,0,0
69,,2022-03-04,0,4,4,4
70,,2022-03-04,0,3,3,0
71,,2022-03-04,0,0,3,3
72,,2022-03-04,3,0,0,3
73,,2022-03-04,2,0,2,0
74,,2022-03-04,0,3,3,3
75,,2022-03-04,2,2,0,2
76,,2022-03-04,4,4,0,4
77,,2022-03-04,0,4,0,4
78,,2022-03-04,1,1,0,0
79,,2022-03-04,1,1,0,0
80,,2022-03-04,0,2,0,2
81,,2022-03-04,2,0,2,0
82,,2022-03-04,3,0,0,3
83,,2022-03-04,0,0,1,1
84,,2022-03-04,0,3,3,0
85,,2022-03-04,0,3,0,3
86,,2022-03-04,0,0,1,0
87,,2022-03-04,2,0,2,2
88,,2022-03-04,0,0,1,1
89,,2022-03-04,0,0,2,2
90,,2022-03-04,3,0,0,3
91,,2022-03-04,0,2,0,0
92,,2022-03-04,4,4,0,0
93,,2022-03-04,0,1,0,0
94,,2022-03-04,2,0,2,2
95,,2022-03-04,3,3,0,3
96,,2022-03-04,3,0,0,3
97,,2022-03-04,0,2,2,0
98,,2022-03-04,0,0,2,2
99,,2022-03-04,3,0,3,0
